Thread,Block,Number of step,Seed,Test kerkel,"Mean of result of Test kernel
in float_st (MoT)","Significant digits
of MoT",Reference kernel,"Mean of result of Reference kernel 
in double_st (MoR)","Significant digits 
of MoR","Mean of absolute error of 
two kernel results in double_st (MEAN)","Significant digits
of MEAN","Similar Representation Part 
of MoR and MoT (SRP)","Number of Similar Digits
in fractional part of MoR and MoT 
without exponent (NSD)"
128,256,N,10,1,-0.10327E+003,5,8,-0.103270968573557E+003,15,0.470933583230248E-003,15,-0.10327,5
256,128,1,1,1,0.14157E+003,5,8,0.141574384913979E+003,15,0.434015056583803E-003,15,0.14157,5
256,128,1,2,1,-0.94451E+002,5,8,-0.944515437528662E+002,15,0.504120704732713E-003,15,-0.94451,5
256,128,1,3,1,-0.12072E+003,5,8,-0.120726427593710E+003,15,0.434755168811307E-003,15,-0.12072,5
256,128,1,4,1,-0.1308E+002,4,8,-0.130821606731842E+002,15,0.470202806656772E-003,15,-0.1308,4
256,128,1,5,1,0.12863E+003,5,8,0.128629984260314E+003,15,0.458041117497032E-003,15,0.1286,4
256,128,1,6,1,0.15766E+003,5,8,0.157666582364970E+003,15,0.470857686195813E-003,15,0.15766,5
256,128,1,7,1,0.27293E+003,5,8,0.272936606664996E+003,15,0.486433962009868E-003,15,0.27293,5
256,128,1,8,1,-0.22657E+003,5,8,-0.226574426500749E+003,15,0.431546322630538E-003,15,-0.22657,5
256,128,1,9,1,-0.96375E+002,5,8,-0.963759972646730E+002,15,0.447948266810271E-003,15,-0.96375,5
256,128,1,10,1,-0.10327E+003,5,8,-0.103273154132391E+003,15,0.438881740890906E-003,15,-0.10327,5
256,128,N,1,1,0.14157E+003,5,8,0.141572039192122E+003,15,0.470573502752813E-003,15,0.14157,5
256,128,N,2,1,-0.94449E+002,5,8,-0.944495209071064E+002,15,0.464917523160579E-003,15,-0.94449,5
256,128,N,3,1,-0.12072E+003,5,8,-0.120728547775728E+003,15,0.459396822407143E-003,15,-0.12072,5
256,128,N,4,1,-0.1307E+002,4,8,-0.130798596802633E+002,15,0.492360520487622E-003,15,-0.1307,4
256,128,N,5,1,0.12862E+003,5,8,0.128627720266937E+003,15,0.463733713928604E-003,15,0.12862,5
256,128,N,6,1,0.15766E+003,5,8,0.157668878098455E+003,15,0.494460138497743E-003,15,0.15766,5
256,128,N,7,1,0.27293E+003,5,8,0.272934585153896E+003,15,0.473439853521995E-003,15,0.27293,5
256,128,N,8,1,-0.22657E+003,5,8,-0.226571982118515E+003,15,0.489605494919942E-003,15,-0.22657,5
256,128,N,9,1,-0.96378E+002,5,8,-0.963788888950366E+002,15,0.481098812684876E-003,15,-0.96378,5
256,128,N,10,1,-0.10327E+003,5,8,-0.103270968573557E+003,15,0.470933583230248E-003,15,-0.10327,5
32,1024,1,1,2,0.14157E+003,5,8,0.141574384913979E+003,15,0.362807374301610E-003,15,0.14157,5
32,1024,1,2,2,-0.94451E+002,5,8,-0.944515437528662E+002,15,0.168427345357713E-003,15,-0.94451,5
32,1024,1,3,2,-0.12072E+003,5,8,-0.120726427593710E+003,15,0.444927694843499E-003,15,-0.12072,5
32,1024,1,4,2,-0.1308E+002,4,8,-0.130821606731842E+002,15,0.507078213558997E-003,15,-0.1308,4
32,1024,1,5,2,0.12863E+003,5,8,0.128629984260314E+003,15,0.417351013311417E-003,15,0.1286,4
32,1024,1,6,2,0.15766E+003,5,8,0.157666582364970E+003,15,0.430167582010199E-003,15,0.15766,5
32,1024,1,7,2,0.27293E+003,5,8,0.272936606664996E+003,15,0.466088909888640E-003,15,0.27293,5
32,1024,1,8,2,-0.22657E+003,5,8,-0.226574426500749E+003,15,0.431546322630538E-003,15,-0.22657,5
32,1024,1,9,2,-0.96375E+002,5,8,-0.963759972646730E+002,15,0.458120792856675E-003,15,-0.96375,5
32,1024,1,10,2,-0.10327E+003,5,8,-0.103273154132391E+003,15,0.388019110687309E-003,15,-0.10327,5
32,1024,N,1,2,0.14157E+003,5,8,0.141572039192122E+003,15,0.501091080877813E-003,15,0.14157,5
32,1024,N,2,2,-0.94449E+002,5,8,-0.944495209071064E+002,15,0.505607627331983E-003,15,-0.94449,5
32,1024,N,3,2,-0.12072E+003,5,8,-0.120728547775728E+003,15,0.510259452610739E-003,15,-0.12072,5
32,1024,N,4,2,-0.1307E+002,4,8,-0.130798596802633E+002,15,0.489817388977797E-003,15,-0.1307,4
32,1024,N,5,2,0.12862E+003,5,8,0.128627720266937E+003,15,0.504423818085797E-003,15,0.12862,5
32,1024,N,6,2,0.15766E+003,5,8,0.157668878098455E+003,15,0.504632664558357E-003,15,0.15766,5
32,1024,N,7,2,0.27293E+003,5,8,0.272934585153896E+003,15,0.514129957650766E-003,15,0.27293,5
32,1024,N,8,2,-0.22657E+003,5,8,-0.226571982118515E+003,15,0.530295599077135E-003,15,-0.22657,5
32,1024,N,9,2,-0.96378E+002,5,8,-0.963788888950366E+002,15,0.511616390809876E-003,15,-0.96378,5
32,1024,N,10,2,-0.10327E+003,5,8,-0.103270968573557E+003,15,0.491278635308844E-003,15,-0.10327,5
64,512,1,1,2,0.14157E+003,5,8,0.141574384913979E+003,15,0.505222738865995E-003,15,0.14157,5
64,512,1,2,2,-0.94451E+002,5,8,-0.944515437528662E+002,15,0.392222918279117E-003,15,-0.94451,5
64,512,1,3,2,-0.12072E+003,5,8,-0.120726427593710E+003,15,0.404237590686307E-003,15,-0.12072,5
64,512,1,4,2,-0.1308E+002,4,8,-0.130821606731842E+002,15,0.424426439469272E-003,15,-0.1308,4
64,512,1,5,2,0.12863E+003,5,8,0.128629984260314E+003,15,0.407178487279225E-003,15,0.1286,4
64,512,1,6,2,0.15766E+003,5,8,0.157666582364970E+003,15,0.399650003885199E-003,15,0.15766,5
64,512,1,7,2,0.27293E+003,5,8,0.272936606664996E+003,15,0.506779014074254E-003,15,0.27293,5
64,512,1,8,2,-0.22657E+003,5,8,-0.226574426500749E+003,15,0.492581478880538E-003,15,-0.22657,5
64,512,1,9,2,-0.96375E+002,5,8,-0.963759972646730E+002,15,0.417430688685271E-003,15,-0.96375,5
64,512,1,10,2,-0.10327E+003,5,8,-0.103273154132391E+003,15,0.408364162765906E-003,15,-0.10327,5
64,512,N,1,2,0.14157E+003,5,8,0.141572039192122E+003,15,0.470573502752813E-003,15,0.14157,5
64,512,N,2,2,-0.94449E+002,5,8,-0.944495209071064E+002,15,0.475090049206983E-003,15,-0.94449,5
64,512,N,3,2,-0.12072E+003,5,8,-0.120728547775728E+003,15,0.479741874485739E-003,15,-0.12072,5
64,512,N,4,2,-0.1307E+002,4,8,-0.130798596802633E+002,15,0.458028245096997E-003,15,-0.1307,4
64,512,N,5,2,0.12862E+003,5,8,0.128627720266937E+003,15,0.463733713928604E-003,15,0.12862,5
64,512,N,6,2,0.15766E+003,5,8,0.157668878098455E+003,15,0.463942560372743E-003,15,0.15766,5
64,512,N,7,2,0.27293E+003,5,8,0.272934585153896E+003,15,0.473439853521995E-003,15,0.27293,5
64,512,N,8,2,-0.22657E+003,5,8,-0.226571982118515E+003,15,0.489605494919942E-003,15,-0.22657,5
64,512,N,9,2,-0.96378E+002,5,8,-0.963788888950366E+002,15,0.470926286652684E-003,15,-0.96378,5
64,512,N,10,2,-0.10327E+003,5,8,-0.103270968573557E+003,15,0.481106109276652E-003,15,-0.10327,5
128,256,1,1,2,0.14157E+003,5,8,0.141574384913979E+003,15,0.474705160740995E-003,15,0.14157,5
128,256,1,2,2,-0.94451E+002,5,8,-0.944515437528662E+002,15,0.392222918279117E-003,15,-0.94451,5
128,256,1,3,2,-0.12072E+003,5,8,-0.120726427593710E+003,15,0.485617799014903E-003,15,-0.12072,5
128,256,1,4,2,-0.1308E+002,4,8,-0.130821606731842E+002,15,0.460030280615697E-003,15,-0.1308,4
128,256,1,5,2,0.12863E+003,5,8,0.128629984260314E+003,15,0.458041117497032E-003,15,0.1286,4
128,256,1,6,2,0.15766E+003,5,8,0.157666582364970E+003,15,0.430167582010199E-003,15,0.15766,5
128,256,1,7,2,0.27293E+003,5,8,0.272936606664996E+003,15,0.486433962009868E-003,15,0.27293,5
128,256,1,8,2,-0.22657E+003,5,8,-0.226574426500749E+003,15,0.451891374723345E-003,15,-0.22657,5
128,256,1,9,2,-0.96375E+002,5,8,-0.963759972646730E+002,15,0.458120792856675E-003,15,-0.96375,5
128,256,1,10,2,-0.10327E+003,5,8,-0.103273154132391E+003,15,0.459226792969502E-003,15,-0.10327,5
128,256,N,1,2,0.14157E+003,5,8,0.141572039192122E+003,15,0.480746028785006E-003,15,0.14157,5
128,256,N,2,2,-0.94449E+002,5,8,-0.944495209071064E+002,15,0.495435101285579E-003,15,-0.94449,5
128,256,N,3,2,-0.12072E+003,5,8,-0.120728547775728E+003,15,0.479741874485739E-003,15,-0.12072,5
128,256,N,4,2,-0.1307E+002,4,8,-0.130798596802633E+002,15,0.475830165669322E-003,15,-0.1307,4
128,256,N,5,2,0.12862E+003,5,8,0.128627720266937E+003,15,0.473906239960797E-003,15,0.12862,5
128,256,N,6,2,0.15766E+003,5,8,0.157668878098455E+003,15,0.494460138497743E-003,15,0.15766,5
128,256,N,7,2,0.27293E+003,5,8,0.272934585153896E+003,15,0.493784905586380E-003,15,0.27293,5
128,256,N,8,2,-0.22657E+003,5,8,-0.226571982118515E+003,15,0.489605494919942E-003,15,-0.22657,5
128,256,N,9,2,-0.96378E+002,5,8,-0.963788888950366E+002,15,0.460753760606280E-003,15,-0.96378,5
128,256,N,10,2,-0.10327E+003,5,8,-0.103270968573557E+003,15,0.460761057183844E-003,15,-0.10327,5
256,128,1,1,2,0.14157E+003,5,8,0.141574384913979E+003,15,0.474705160740995E-003,15,0.14157,5
256,128,1,2,2,-0.94451E+002,5,8,-0.944515437528662E+002,15,0.463430600575520E-003,15,-0.94451,5
256,128,1,3,2,-0.12072E+003,5,8,-0.120726427593710E+003,15,0.465272746936307E-003,15,-0.12072,5
256,128,1,4,2,-0.1308E+002,4,8,-0.130821606731842E+002,15,0.474017503922397E-003,15,-0.1308,4
256,128,1,5,2,0.12863E+003,5,8,0.128629984260314E+003,15,0.447868591436417E-003,15,0.1286,4
