date,symbol,open,close,low,high,volume
04-01-2010,SYY,28.200001,28.1,28.0,28.4,2459700
04-01-2010,T,28.41,28.58,28.280001,28.610001,29136600
04-01-2010,TAP,45.57,45.919998,45.380001,46.07,1302400
04-01-2010,TDC,31.780001,30.870001,30.25,31.780001,2928700
04-01-2010,TEL,24.82,25.030001,24.58,25.030001,1793700
04-01-2010,TGNA,14.97,15.35,14.76,15.67,8490500
04-01-2010,TGT,48.470001,48.549999,48.400002,48.889999,4589100
04-01-2010,TIF,43.66,43.990002,43.59,44.59,1935200
04-01-2010,TJX,36.0,36.040001,35.75,36.650002,12575000
04-01-2010,TMK,44.089989,44.759992,43.789993,44.799997,1734900
04-01-2010,TMO,48.029999,47.5,47.450001,48.029999,7182800
04-01-2010,TROW,53.77,54.400002,53.119999,55.34,2330200
04-01-2010,TRV,50.150002,49.810001,49.66,50.439999,3716000
04-01-2010,TSCO,53.200001,53.34,52.990002,54.419998,1316400
04-01-2010,TSN,12.27,12.24,12.15,12.3,3355000
04-01-2010,TSO,14.15,14.81,14.14,14.94,8833800
04-01-2010,TSS,17.32,17.209999,16.57,17.379999,1795200
04-01-2010,TWX,29.22,29.419995,29.22,29.519998,7026100
04-01-2010,TXN,26.200001,26.01,25.889999,26.610001,10369300
04-01-2010,TXT,18.93,19.040001,18.66,19.18,3630600
04-01-2010,UAA,27.469999,28.08,27.469999,28.1,4284000
04-01-2010,UAL,12.99,12.8,12.53,13.11,8785900
04-01-2010,UDR,16.559999,16.209999,16.139999,16.709999,1835200
04-01-2010,UHS,30.66,31.15,30.66,31.15,1553600
04-01-2010,ULTA,19.23,18.85,18.59,19.25,594700
04-01-2010,UNH,31.379999,31.530001,30.969999,31.6,12199500
04-01-2010,UNM,19.73,19.940001,19.549999,20.049999,3110300
04-01-2010,UNP,64.580002,65.389999,64.470001,65.419998,5894200
04-01-2010,UPS,58.18,58.18,57.98,58.82,3897200
04-01-2010,URBN,35.610001,34.91,34.650002,35.84,3433800
04-01-2010,URI,9.92,10.04,9.79,10.13,1692500
04-01-2010,USB,22.57,22.879999,22.530001,22.91,12891700
04-01-2010,UTX,70.209999,71.629997,69.860001,71.860001,6104100
04-01-2010,V,88.0,88.139999,87.459999,88.769997,20180000
04-01-2010,VAR,47.189999,47.169998,47.0,47.43,780600
04-01-2010,VFC,74.0,73.379997,73.059998,74.0,2042000
04-01-2010,VIAB,30.059999,29.98,29.799999,30.280001,3132800
04-01-2010,VLO,17.249995,17.889997,17.109995,17.940003,15454500
04-01-2010,VMC,53.41,52.73,52.169998,53.41,1128000
04-01-2010,VNO,70.640003,70.019993,69.610002,71.440006,1863800
04-01-2010,VRSK,30.41,29.85,29.67,30.5,390000
04-01-2010,VRSN,24.559999,24.74,24.290001,24.870001,2652000
04-01-2010,VRTX,42.849998,44.240002,42.799999,44.240002,1744900
04-01-2010,VTR,44.200001,43.349998,43.060001,44.619999,1196900
04-01-2010,VZ,33.399868,33.279869,33.089868,33.449868,16176600
04-01-2010,WAT,62.5,61.630001,61.43,62.599998,954400
04-01-2010,WBA,37.009998,37.299999,36.639999,37.299999,8171000
04-01-2010,WDC,44.400002,45.259998,44.400002,45.799999,3118200
04-01-2010,WEC,50.049999,49.73,49.529999,50.150002,1541800
04-01-2010,WFC,27.02,27.32,26.82,27.48,39335700
04-01-2010,WFM,27.59,27.85,27.190001,28.049999,5275000
04-01-2010,WHR,81.379997,81.949997,80.5,82.230003,1010100
04-01-2010,WM,34.009998,34.16,33.869999,34.259998,2058800
04-01-2010,WMB,21.439954,21.609949,21.399952,21.649951,7020200
04-01-2010,WMT,53.740002,54.23,53.669998,54.669998,20753100
04-01-2010,WU,19.1,19.09,19.049999,19.24,4277900
04-01-2010,WY,43.889999,44.279999,43.439999,44.43,1832400
04-01-2010,WYN,20.450001,20.280001,20.1,20.540001,2071000
04-01-2010,WYNN,61.240002,63.959999,60.919998,64.150002,4741400
04-01-2010,XEC,54.029999,55.169998,53.880001,55.169998,627500
04-01-2010,XEL,21.379999,21.08,21.040001,21.379999,2670400
04-01-2010,XL,18.52,18.719999,18.450001,18.75,2555900
04-01-2010,XLNX,25.34,25.379999,25.23,25.620001,2824700
04-01-2010,XOM,68.720001,69.150002,68.190002,69.260002,27809100
04-01-2010,XRAY,35.529999,35.330002,35.27,35.650002,1051400
04-01-2010,XRX,8.54,8.63,8.47,8.76,13472700
04-01-2010,YHOO,16.940001,17.1,16.879999,17.200001,16587400
04-01-2010,YUM,35.12,35.090001,35.05,35.280001,2962300
04-01-2010,ZBH,59.310001,60.02,59.310001,60.139999,782400
04-01-2010,ZION,12.94,13.33,12.88,13.37,3974600
04-01-2010 00:00,AIV,16.15,15.96,15.81,16.35,1938700
05-01-2010,A,31.209999,30.960001,30.76,31.220001,4186000
05-01-2010,AAL,4.79,5.31,4.71,5.37,25212000
05-01-2010,AAP,40.299999,40.139999,39.720001,40.310001,1932400
05-01-2010,AAPL,214.599998,214.379993,213.249994,215.589994,150476200
05-01-2010,ABC,26.65,26.440001,26.379999,26.65,2476800
05-01-2010,ABT,54.469953,54.019953,53.749951,54.469953,10562100
05-01-2010,ACN,42.099998,42.330002,41.98,42.450001,2613000
05-01-2010,ADBE,37.040001,37.700001,36.869999,37.799999,7108800
05-01-2010,ADI,31.67,31.620001,31.41,31.809999,2040100
05-01-2010,ADM,31.549999,31.639999,31.4,31.77,3458700
05-01-2010,ADP,42.65,42.600003,42.370004,42.910001,3252400
05-01-2010,ADS,65.809998,66.019997,65.589996,66.199997,369300
05-01-2010,ADSK,25.620001,25.280001,25.059999,25.709999,3008800
05-01-2010,AEE,27.77,27.65,27.41,27.84,1422200
05-01-2010,AEP,34.98,34.540001,34.360001,35.119999,5112400
05-01-2010,AES,13.67,13.53,13.5,13.84,5093200
05-01-2010,AET,32.939999,32.529999,32.259998,33.099998,4573600
05-01-2010,AGN,40.220001,39.889999,39.549999,40.220001,583400
05-01-2010,AIG,29.98,29.33,29.15,30.360001,8920500
05-01-2010,AIZ,30.059999,31.059999,30.0,31.08,1377600
05-01-2010,AJG,22.35,22.209999,21.9,22.42,545700
05-01-2010,AKAM,25.950001,26.690001,25.77,26.73,5421900
05-01-2010,ALB,38.700001,38.02,37.599998,38.700001,398900
05-01-2010,ALK,34.759998,36.779999,34.759998,36.939999,3052800
05-01-2010,ALL,30.48,30.91,30.139999,30.969999,5342100
05-01-2010,ALXN,48.490002,47.560001,47.25,48.5,927600
05-01-2010,AMAT,14.24,14.19,14.04,14.38,15173200
05-01-2010,AME,38.650001,38.43,38.379999,38.739999,714100
05-01-2010,AMG,68.779999,69.43,68.269997,69.5,324600
05-01-2010,AMGN,57.330002,57.220001,56.27,57.689999,7882800
05-01-2010,AMP,39.77,40.810001,39.73,40.810001,2782200
05-01-2010,AMT,43.5,44.18,43.400002,44.25,2575800
05-01-2010,AMZN,133.429993,134.690002,131.809998,135.479996,8851900
05-01-2010,AN,19.18,19.57,19.01,19.68,2532200
